;Tariff_mean
0;0.0816
1;0.0816
2;0.0816
3;0.0816
4;0.0816
5;0.0816
6;0.0816
7;0.0816
8;0.0816
9;0.0816
10;0.0816
11;0.0816
12;0.0816
13;0.0816
14;0.0816
15;0.0816
16;0.0816
17;0.0816
18;0.0816
19;0.0816
20;0.0816
21;0.0816
22;0.0816
23;0.0816
24;0.0816
25;0.0816
26;0.0816
27;0.0816
28;0.0816
29;0.0816
30;0.0816
31;0.0816
32;0.0816
33;0.0816
34;0.0816
35;0.0816
36;0.0816
37;0.0816
38;0.0816
39;0.0816
40;0.0816
41;0.0816
42;0.0816
43;0.0816
44;0.0816
45;0.0816
46;0.0816
47;0.0816
48;0.0816
49;0.0816
50;0.0816
51;0.0816
52;0.0816
53;0.0816
54;0.0816
55;0.0816
56;0.0816
57;0.0816
58;0.0816
59;0.0816
60;0.0816
61;0.0816
62;0.0816
63;0.0816
64;0.0816
65;0.0816
66;0.0816
67;0.0816
68;0.0816
69;0.0816
70;0.0816
71;0.0816
72;0.0816
73;0.0816
74;0.0816
75;0.0816
76;0.0816
77;0.0816
78;0.0816
79;0.0816
80;0.0816
81;0.0816
82;0.0816
83;0.0816
84;0.0816
85;0.0816
86;0.0816
87;0.0816
88;0.0816
89;0.0816
90;0.0816
91;0.0816
92;0.0816
93;0.0816
94;0.0816
95;0.0816
96;0.0816
97;0.0816
98;0.0816
99;0.0816
100;0.0816
101;0.0816
102;0.0816
103;0.0816
104;0.0816
105;0.0816
106;0.0816
107;0.0816
108;0.0816
109;0.0816
110;0.0816
111;0.0816
112;0.0816
113;0.0816
114;0.0816
115;0.0816
116;0.0816
117;0.0816
118;0.0816
119;0.0816
120;0.0816
121;0.0816
122;0.0816
123;0.0816
124;0.0816
125;0.0816
126;0.0816
127;0.0816
128;0.0816
129;0.0816
130;0.0816
131;0.0816
132;0.0816
133;0.0816
134;0.0816
135;0.0816
136;0.0816
137;0.0816
138;0.0816
139;0.0816
140;0.0816
141;0.0816
142;0.0816
143;0.0816
144;0.0816
145;0.0816
146;0.0816
147;0.0816
148;0.0816
149;0.0816
150;0.0816
151;0.0816
152;0.0816
153;0.0816
154;0.0816
155;0.0816
156;0.0816
157;0.0816
158;0.0816
159;0.0816
160;0.0816
161;0.0816
162;0.0816
163;0.0816
164;0.0816
165;0.0816
166;0.0816
167;0.0816
168;0.0816
169;0.0816
170;0.0816
171;0.0816
172;0.0816
173;0.0816
174;0.0816
175;0.0816
176;0.0816
177;0.0816
178;0.0816
179;0.0816
180;0.0816
181;0.0816
182;0.0816
183;0.0816
184;0.0816
185;0.0816
186;0.0816
187;0.0816
188;0.0816
189;0.0816
190;0.0816
191;0.0816
192;0.0816
193;0.0816
194;0.0816
195;0.0816
196;0.0816
197;0.0816
198;0.0816
199;0.0816
200;0.0816
201;0.0816
202;0.0816
203;0.0816
204;0.0816
205;0.0816
206;0.0816
207;0.0816
208;0.0816
209;0.0816
210;0.0816
211;0.0816
212;0.0816
213;0.0816
214;0.0816
215;0.0816
216;0.0816
217;0.0816
218;0.0816
219;0.0816
220;0.0816
221;0.0816
222;0.0816
223;0.0816
224;0.0816
225;0.0816
226;0.0816
227;0.0816
228;0.0816
229;0.0816
230;0.0816
231;0.0816
232;0.0816
233;0.0816
234;0.0816
235;0.0816
236;0.0816
237;0.0816
238;0.0816
239;0.0816
240;0.0816
241;0.0816
242;0.0816
243;0.0816
244;0.0816
245;0.0816
246;0.0816
247;0.0816
248;0.0816
249;0.0816
250;0.0816
251;0.0816
252;0.0816
253;0.0816
254;0.0816
255;0.0816
256;0.0816
257;0.0816
258;0.0816
259;0.0816
260;0.0816
261;0.0816
262;0.0816
263;0.0816
264;0.0816
265;0.0816
266;0.0816
267;0.0816
268;0.0816
269;0.0816
270;0.0816
271;0.0816
272;0.0816
273;0.0816
274;0.0816
275;0.0816
276;0.0816
277;0.0816
278;0.0816
279;0.0816
280;0.0816
281;0.0816
282;0.0816
