Date (GMT+1);Nuclear  Power (MW);Non-Renewable Power (MW);Renewable Power (MW);Price (EUR/MWh, EUR/tCO2)
2021-01-01T00:00+01:00;8145.41;22935.12;11601.32;50.87
2021-01-01T01:00+01:00;8151.32;22242.88;11196.25;48.19
2021-01-01T02:00+01:00;8156.98;22308.77;10741.31;44.68
2021-01-01T03:00+01:00;8154.41;22448.23;10329.45;42.92
2021-01-01T04:00+01:00;8151.31;22212.46;9984.34;40.39
2021-01-01T05:00+01:00;8151.11;22634.29;9797.51;40.2
2021-01-01T06:00+01:00;8155.36;23140.3;9810.93;39.63
2021-01-01T07:00+01:00;8153.53;22769.22;9724.83;40.09
2021-01-01T08:00+01:00;8158.07;23308.35;10063.49;41.27
2021-01-01T09:00+01:00;8160.71;23580.13;11267.5;44.88
2021-01-01T10:00+01:00;8161.88;23514.63;13040.62;45
2021-01-01T11:00+01:00;8161.11;23834.37;14227.78;47.2
2021-01-01T12:00+01:00;8153.87;23941.43;14643.61;50.78
2021-01-01T13:00+01:00;8153.98;23876.29;13900.52;45.49
2021-01-01T14:00+01:00;8155.55;23979.92;12257.55;44.73
2021-01-01T15:00+01:00;8157.69;24750.2;10566.98;46.59
2021-01-01T16:00+01:00;8156.87;25499.54;10503.44;52.99
2021-01-01T17:00+01:00;8151.76;26074.58;11256.21;60.26
2021-01-01T18:00+01:00;8151.57;26098.43;11840.6;60.61
2021-01-01T19:00+01:00;8155.86;26151.55;12246.26;60.36
2021-01-01T20:00+01:00;8153.01;25888.57;12441.59;57.4
2021-01-01T21:00+01:00;8149.76;25437.23;12566.54;53.86
2021-01-01T22:00+01:00;8141.65;24849.08;12978.11;53.45
2021-01-01T23:00+01:00;8142.44;23564.35;12584.68;49.72
2021-01-02T00:00+01:00;8093.88;22545.55;12227.4;46.69
2021-01-02T01:00+01:00;8121.13;22072.01;11982.52;42.43
2021-01-02T02:00+01:00;8101.28;21470.65;11923.95;41.09
2021-01-02T03:00+01:00;8095.1;21281.17;11759.41;40
2021-01-02T04:00+01:00;8132.32;21771.88;11549.85;37.55
2021-01-02T05:00+01:00;8141.06;22396.56;11193.07;39
2021-01-02T06:00+01:00;8130.8;23156.5;11113.74;42.09
2021-01-02T07:00+01:00;8125.74;24342.71;10960.52;44.96
2021-01-02T08:00+01:00;8054.25;26055.55;10726.43;48.45
