;Residual_Actual;Residual_Optimized
0;2237.5407860004275;2237.5238867986254
1;2335.736524322786;2334.6103955129047
2;4177.425853710938;4160.7740430772565
3;5576.10467671441;5568.363774934895
4;4240.092326605903;4250.929271028645
5;2771.7080282552083;2261.9733384114584
6;8010.648709819879;6982.713927029079
7;6397.460291992188;5409.337003884549
8;5812.014362543403;3911.8428897135414
9;5106.232834483507;3176.0573300238716
10;6677.775386002604;4809.344587868924
11;10111.969103685113;8111.68273302906
12;8313.53313016252;5731.033947392616
13;7327.696899479167;2393.8816284722225
14;7224.715076974826;2614.4261411024304
15;6855.20140546875;2838.784238237847
16;6041.474418402778;2240.6843211371524
17;4106.955141210938;3103.093924772136
18;5905.959798871528;2874.8177418077257
19;8517.727336892362;3679.1866494791666
20;6530.0478580078125;82.24980604116386
21;8299.095390039063;-2628.497643801541
22;7844.698684044428;-5087.559908963422
23;8495.31379263503;-4156.903646042194
24;6818.025504036459;-4242.457397515192
25;896.0639129022867;-3369.0279349894204
26;-5590.268881113689;-8006.4121562065975
27;-13000.133095876736;-12146.225469704861
28;-16606.429793836807;-11250.17510143229
29;-20169.01611041667;-15737.773316493054
30;-24088.19639609375;-20120.20441640625
31;-27601.090499131944;-17740.159125217015
32;-30621.619803385416;-18595.78497795139
33;-33279.27426541355;-19066.081706670084
34;-35044.22960313045;-20023.791613043264
35;-37867.903110416664;-18206.920608940974
36;-33708.817324131945;-11247.586111631945
37;-18005.139791133628;-9794.368508159723
38;5497.762870329539;-9683.4520875
39;-6101.061252940475;-8298.367156597224
40;1688.361482630242;-6357.965783658855
41;5504.576729286025;-10231.16394796007
42;-12423.444082467651;-10384.225110720487
43;13359.911891623628;-11609.402760416666
44;12284.756772995534;-13571.2059028091
45;-9746.591814348552;-13717.704764212202
46;4781.742147569106;-13552.39795373264
47;4080.670755647787;-13725.13007078993
48;-12634.687911933052;-10845.19891305881
49;-33053.22220338542;14032.491086666829
50;-32716.03061979167;11273.251910069444
51;-31751.82955121528;14304.15471063368
52;10044.195778306834;7880.014157189857
53;11680.322502734376;-13911.240452170137
54;-14301.698382021756;-17025.82330559896
55;-12077.198505202034;-23785.74210070546
56;-9343.650345746219;-26427.961022906635
57;16358.418816232639;19148.53450816786
58;993.26091736518;13028.798145280118
59;-17465.34887439236;-23152.424704557292
60;-12809.803596610514;3563.583792474509
61;2829.2649219070436;5461.102940842014
62;-469.05381868693036;-20243.286640551585
63;-22362.011190711808;-30127.44314748264
64;-18482.000274739585;-24426.99137126736
65;-17239.180327951388;-24534.74332447917
66;-16002.402381988706;-22035.27423123809
67;-9206.744047222992;-17692.730911425835
68;-2960.5204683756515;-12858.957752430555
69;3648.5865315673827;-8801.524809874132
70;4983.669126052517;-6571.679402256945
71;2655.823406651476;-6294.031434917535
72;2381.1345862521703;-4763.511934027777
73;239.13151437606945;-2480.103636653646
74;6476.401031178114;4234.970232790799
75;10379.140162131076;6980.357387239584
76;8558.353524609374;5235.556645486112
77;7294.901618450972;4006.0346230665477
78;8759.369685909456;5045.588271902587
79;8953.923970095486;3323.6224303819445
80;10252.40487000868;3545.5458468858506
81;10347.80430533854;4029.047521799045
82;14779.203945746527;6399.329335720487
83;16797.590115755207;9711.019852734376
84;10664.585213237848;4549.877690115018
85;9027.119476215277;3504.2916202582464
86;7478.558968706598;3085.44068171658
87;11672.581253363716;3917.2308362521703
88;14042.055931558809;6248.208089430565
89;14087.987847314578;4391.395757893291
90;16525.41658780382;5515.842079806857
91;15595.407852864584;6671.245605251736
92;12273.280382855903;4732.660821202257
93;10835.440141232639;4183.2351390625
94;7104.819668142361;4078.9725143337673
95;1640.6194872395833;1705.7728754882812
