;Residual_Actual;Residual_Optimized
0;2237.5314738945503;2237.545926504379
1;2335.970262849921;2335.8577377629767
2;4183.691331000434;4179.5283939236115
3;5583.683794726563;5577.677234288194
4;4225.367225607639;4237.000653276909
5;2758.397622276476;2244.131220171441
6;8093.598696961805;7021.078747797309
7;6356.0702425781255;5389.561326388888
8;5794.624219292535;3900.29076203342
9;5100.334423263888;3172.9146710611976
10;6745.807484526909;4813.144724273004
11;10181.355424160583;8115.446785791694
12;8257.648226987312;5736.6690679242265
13;7303.388816210938;2393.8694612304685
14;7217.6266530815965;2614.4336425455726
15;6839.593492903647;2839.0581006835937
16;6003.948201106771;2241.937293956163
17;4053.1673542751732;3100.3492646701393
18;5964.37026468099;2875.2443555664063
19;8571.792711089409;3682.154128190104
20;6443.008812521702;87.00676414317024
21;8350.950911458332;-2626.02102016059
22;7818.7570095094625;-5090.022581031853
23;8483.917067307937;-4146.9690400760255
24;6731.638366243489;-4240.190039735243
25;585.0428453959306;-3353.4446848537873
26;-5942.172435034179;-8006.173069965277
27;-13319.678222873265;-12141.206825651043
28;-16766.271564626735;-11215.292440407986
29;-20384.293238888888;-15728.974613628472
30;-24314.177105555555;-20134.68156484375
31;-27917.548916319443;-17751.27370030382
32;-30880.058602864585;-18620.534634027776
33;-33563.91842567423;-19088.095519918326
34;-35373.45277394545;-20033.955932369558
35;-40631.94381701389;-22164.599398524308
36;-40606.00381267361;-18419.83067248264
37;-39036.034910156246;-16678.553886111113
38;-34681.76124479167;-19900.47281857639
39;-35308.697059722224;-19517.097734288192
40;-35169.27285486111;-17714.40115737847
41;-36248.81973532986;-23140.731092447917
42;-33145.12096440972;-22249.908891319446
43;-30329.220143055554;-24165.948575000002
44;-32428.980601855077;-27243.83757502694
45;-31810.78976118894;-30200.67256318055
46;-34047.52217777778;-30154.642760677085
47;-36984.76904826389;-30359.403928298612
48;-35959.06126805556;-33198.50961215278
49;-35615.23859357639;-33154.888022743056
50;-35299.57604895833;-34026.387406076385
51;-32429.247078819444;-31476.79818420139
52;-31598.91193402778;-28217.357726475697
53;-33325.4491764757;-28450.733696440973
54;-31003.820444184028;-25242.734390538193
55;-31341.01918655879;-25816.355416408704
56;-33163.83980557024;-29929.725045609168
57;-29204.205296354165;-28865.57805434028
58;-27440.118556944446;-30891.63150217014
59;-29990.92616015625;-34442.18201527778
60;-36157.99442847222;-38419.571771180556
61;-38467.536703645834;-37086.029703472224
62;-33537.26133967014;-35137.19130677083
63;-25577.423331770835;-30484.331846961806
64;-18177.945461805557;-24851.591910763887
65;-17245.714700694443;-24388.114287413195
66;-15972.32829276735;-21911.751464554072
67;-8997.14271151627;-17360.15799267776
68;-2929.503927015516;-12472.680634331598
69;3699.158613975694;-8671.443859787327
70;4957.63513655599;-6492.27510219184
71;2556.5261947482636;-6292.373482682292
72;2332.726799319119;-4671.100829090712
73;129.45459995746083;-2365.825781065538
74;6605.084001296658;4613.143524777561
75;10438.716810698785;7150.78324516059
76;8471.397354991319;5108.040638921441
77;7276.390417437688;3895.0522658496675
78;8808.248168158818;5137.8220494112265
79;8955.615644965277;3147.939863031684
80;10297.140836631945;3594.223588964844
81;10347.855822526042;4064.88483155382
82;14932.429324652778;6605.319356206597
83;16852.3409515625;9973.201680707465
84;10463.014460546876;4051.449056673177
85;8986.277746354166;3495.453878200955
86;7411.619276236978;3051.0310850694445
87;11866.371068532986;4031.2714088975695
88;14125.936604430717;6528.864843943232
89;14082.59142869477;4086.124578732936
90;16620.16693159722;5725.256695301649
91;15551.284862630207;6772.25333984375
92;12140.838650911459;4460.680422005208
93;10790.7899296875;4171.938837543403
94;6964.272142860243;4067.8348751193575
95;1435.018590456814;1391.4700282714844
