;Residual_Actual;Residual_Optimized
0;2254.469431797509;747.7669452551797
1;5358.956322113999;3465.5159487647943
2;11547.06079578993;7316.526535753039
3;16567.589323697917;8713.13081859809
4;15982.340575390626;6968.2173708550345
5;12766.156892144096;4122.949011501736
6;12833.345942751735;6312.371772905816
7;9571.626126432293;5537.164387087674
8;10019.94220750868;6398.826531922743
9;11602.95442686632;5091.766275282118
10;12157.929289192709;4855.08745718316
11;11100.806675398386;4642.849148993834
12;9022.021726257157;3151.8458900021305
13;6582.086655642362;3988.7623532335065
14;6599.300382356771;5653.393564279514
15;7857.8176761935765;7193.5163354817705
16;6391.7314656467015;5317.075488194445
17;7986.4821549913195;3278.0894269856767
18;8788.65284874132;2427.575789149306
19;13041.796717230904;4648.69799015842
20;15818.198121050347;4331.063819943576
21;13046.519415234376;5035.390025802951
22;15190.351222347545;7103.688832555573
23;17300.70805690077;7496.713688957219
24;15309.867813845485;5733.213200412327
25;14320.882691493054;3062.682726421441
26;16016.581566362847;6174.427161013455
27;17441.753553645834;6006.03844236111
28;16120.838712847222;5151.775079405383
29;11905.10764171007;4370.081491525608
30;358.13186119658155;-3442.035872770182
31;-6463.744989805772;-1696.651891880968
32;-9420.370706184896;-1796.8163225341798
33;-9643.764042887555;-2538.1925580815455
34;-10563.199286994135;-4392.248915703963
35;-11601.880554687501;1263.1773716308594
36;-10793.723874088542;6232.7139824544265
37;-11971.684029123264;4176.707928233507
38;-12797.445933420138;9207.766800097657
39;-14327.561100217014;1180.4468244141756
40;-17289.763803819445;-2205.6161523423934
41;-22668.386006163193;2213.8016653917102
42;-23345.70213420139;-6138.261320524089
43;-24572.221939149305;-4934.277475509983
44;-32319.63628790235;-7374.745711785473
45;-33344.923962154826;-8486.011639922104
46;-28804.084242100696;-5704.136252734375
47;-31538.43276623264;-9384.799976953125
48;-27891.77127213542;-8665.138775347223
49;-22719.255812413197;-5071.270524479166
50;-14789.839993229167;-57.85437254503038
51;-14440.848722265626;-4394.253747498915
52;-15170.870590798611;-4541.157759049479
53;-15589.019206206598;-9356.47926360677
54;-13684.280694704861;-7734.276075737846
55;-16518.27641070427;-13081.815591149154
56;-18967.6562805137;-17878.74034375704
57;-17690.941373871527;-13051.293574262154
58;-12257.231085460071;-7660.074074327256
59;-10748.6314515625;-6490.459777712674
60;-11275.818073524306;-11361.411168033854
61;-9695.135649609376;-11370.44550438368
62;-5512.2444736328125;-7880.774490473091
63;473.959215735711;-2841.898500840929
64;2913.8781100613064;-1024.8807804816352
65;7742.917272547743;2047.290963349745
66;13350.189730753877;6340.15755426373
67;15730.433586419409;6631.390341461822
68;13444.81458359375;6857.982797352431
69;8299.030054861112;4026.058896343316
70;8641.516742903646;2578.861014431424
71;10382.841540885416;3686.582345486111
72;5990.091926757812;1524.8527995388456
73;4228.418003450521;1436.2998916232639
74;4882.067314756944;2828.1293995334204
75;4032.464114246962;2963.2237184461806
76;3336.494124131945;1665.0894037434896
77;8071.303618549684;1571.4305227465834
78;10369.69241749202;3003.639369263426
79;12538.03350455729;4534.104031141493
80;12838.677955598958;4121.692247439236
81;7889.174161675347;2257.280577208116
82;10582.587454318576;6018.176935340712
83;8957.724730034723;4875.518724587673
84;7338.427696202257;3658.585574576823
85;6404.777949131944;2507.822199435764
86;6098.87191421441;2391.965167252604
87;9874.722475412327;3691.4976272352433
88;12382.71769716945;3082.0659085747084
89;14299.263558643996;4651.291481571293
90;13872.813276822917;4146.641277452257
91;16830.769911979165;6782.918095876736
92;15635.35866310764;10631.208356749132
93;16035.978012413194;11269.993160329861
94;12131.503176432292;7668.959653233507
95;3263.873823838976;4077.2740541232642
