;Residual_Actual;Residual_Optimized
0;2401.2861109129167;1411.2847830110416
1;13691.637088638765;12334.899645331005
2;23326.06738250868;21965.393925824654
3;21284.612504079858;16135.341472612847
4;24027.60952543403;9950.396900737847
5;17708.403089583335;2593.5413359374998
6;15499.138911284721;3075.6639223958337
7;11631.338631987846;3624.8354279622395
8;10986.486743663196;2094.3295566948786
9;17834.071491362847;5471.498852289497
10;21683.1788578125;9326.957624717883
11;22398.05184365137;12442.444463570075
12;18874.084202247814;11519.942098832755
13;15122.618141927083;8774.155387934028
14;15910.014421310765;8934.147803602431
15;10524.70361827257;3836.3281277126734
16;6937.021628298611;2004.4273089246963
17;6582.364165668403;1700.9390844129773
18;7877.489496006945;4797.183057747397
19;5532.659945225695;5090.514221657986
20;5107.0718809461805;3959.2731788845485
21;2301.848455843099;2342.2170757486983
22;3712.013361541236;3965.2603333183397
23;5402.094807652678;5664.068925645211
24;-3389.4426729112415;-3482.123342670356
25;-2545.3866124023434;-3977.061757329644
26;-4633.393951850044;-7419.637046050348
27;-7667.378546223958;-8826.826127864582
28;-12962.35188185764;-10251.524368229168
29;-15494.85574483507;-4306.849160134549
30;-10077.380201150172;7316.329159136285
31;-11472.383748697916;9992.919767534722
32;-17375.120169487847;3136.1157296332462
33;-27319.08897977209;-10927.357773815618
34;-25659.81492474987;-16171.014322518113
35;-21128.30510546875;-15201.420627734375
36;-24396.423765885414;-17179.16307643229
37;-21507.31111857639;-9105.47799110243
38;-13280.88511076389;5654.866503975487
39;-13879.176114366319;10369.306971006943
40;-21478.917891840276;-1095.667172401693
41;-29848.360683506944;-12994.931768815104
42;-30968.22046666667;-11022.034978559028
43;-30118.125173177083;-7835.766700368924
44;-32064.221831015373;-5381.0011914427705
45;-29843.086829323995;-5772.394773417807
46;-23449.69778107639;-724.4462099989996
47;-12354.121774088542;-1352.9439896711563
48;-14865.454864192709;-6405.644118193903
49;-15593.16379513889;-9369.050197395833
50;-12787.461431770835;-10397.424113541667
51;-18614.125068229165;-18819.945729904513
52;-16700.158844618058;-19185.875707118055
53;-12960.819269444444;-3500.4710772894964
54;-12630.607546657986;3565.609428970676
55;-14194.440225946866;10538.648041655473
56;-15385.303158864268;11761.609561667068
57;-11124.48182782118;3805.73757014974
58;-7994.179587456598;1755.5732402777778
59;-7593.479946636285;-5456.440335175239
60;-6246.684154101563;-13818.63408656684
61;-9275.673097873263;-15690.654561111112
62;-1169.6964910939535;-11755.171149826389
63;4573.889183984375;-9965.106197482639
64;-4885.086264236111;-12118.185275520833
65;-9745.539770659721;-12588.154248741319
66;-7342.10683689048;-8356.863469108712
67;-2218.0544720450125;-4343.087372916325
68;2431.1693306911893;-637.5499357481215
69;513.3476110688952;-691.9639872477214
70;3890.5857697347005;3330.6759274020724
71;9622.730767361112;4186.305711360677
72;7694.925506770834;1462.692634225803
73;10157.334912543402;4361.958780598958
74;13856.410739496529;7740.178957573785
75;20749.91003172743;14709.60855327691
76;23067.505341493055;15865.397677473959
77;20698.04724848208;13159.173828594277
78;17523.06549618597;8446.564778771473
79;19518.68496362847;6551.615053645833
80;17419.761268836806;3895.8710422309027
81;19668.368915104165;4600.186079730903
82;24042.44337907986;7192.859657899306
83;18687.657757986108;8300.192638172743
84;18505.043842274306;5224.7253243923615
85;16949.492373090277;2264.644455067274
86;12727.888177777777;4138.86668407118
87;16594.395560373265;7993.630260828993
88;20692.719231687483;9046.251336000616
89;24809.432444182094;9996.96673203258
90;18990.884162586808;5110.385836219618
91;13629.522104904512;2990.3355637152777
92;11308.255426649306;2237.978834016927
93;7373.484130403645;444.55895047607424
94;11087.726504926215;5007.290551835124
95;7579.995456792534;4206.0230710069445
