;Residual_Actual;Residual_Optimized
0;3355.538685314186;3355.555001429563
1;3504.1996313615177;3503.5681958481678
2;6281.705758257379;6266.126755121528
3;8379.799449479167;8364.194328993057
4;6337.379661523438;6364.784325759549
5;4133.106045638021;3389.6101472439236
6;12078.906178927951;10482.400013009983
7;9557.75279157986;8111.055385460069
8;8707.011582378473;5872.741485677083
9;7647.821624262153;4769.08355796441
10;10050.05353608941;7191.381109331597
11;15242.148819034684;12111.76333180979
12;12432.038876617675;8643.211189193295
13;10972.625997829862;3646.9407869357638
14;10835.528536154514;3915.864357628038
15;10280.218312239584;4258.562304893663
16;9113.244172743056;3441.824099641927
17;6452.147300781249;4942.3959563910585
18;9791.455044878472;5152.119344357639
19;14371.896875607637;6973.044649848091
20;12316.034326345485;2690.8258541341147
21;16102.668740668403;-390.13382310975396
22;16403.804671818667;-3035.4300450036453
23;18274.892246318417;-806.6229271296828
24;16097.781251171875;-481.2895885800892
25;8700.616729275174;2337.576589420573
26;1200.3531829799274;-2313.6784696784125
27;-8263.118727999878;-6894.186180414496
28;-12394.23545499132;-4283.940905360243
29;-16476.925548307292;-9759.866710937498
30;-20913.702674565975;-14879.648245746528
31;-24400.6501328125;-9329.22590251736
32;-27587.145522569444;-9351.661616601563
33;-30785.23657139449;-9181.493422112917
34;-32792.947353726515;-9864.78311012149
35;-39039.37325277778;-12315.691107378472
36;-39809.65876614583;-6084.952879882813
37;-36921.317398611114;-2841.344230338881
38;-34199.674841579865;-6029.300220138889
39;-35513.4534625;-6497.214809743923
40;-35491.59624479167;-1883.5899946614581
41;-37750.27536510417;-12224.902191552736
42;-31751.96101623264;-11218.73922482639
43;-26301.374190451388;-14988.571419661459
44;-29774.938591725528;-20355.035847243424
45;-28912.683019210235;-25649.550819163753
46;-32943.963554166665;-25787.006305121526
47;-38598.76445694444;-26156.428044010416
48;-37105.58292986111;-31052.120216753472
49;-36535.172761284724;-31483.340321440974
50;-35868.942082291665;-33044.357871527776
51;-30789.065836979167;-28879.651297569446
52;-29075.056916059028;-22485.358159461804
53;-31620.65070920139;-22690.743036718748
54;-27986.522183940975;-17405.977627430555
55;-27619.072437731138;-16664.124506955897
56;-31097.022705754;-23770.1256830959
57;-24681.62692638889;-23240.97936762153
58;-19302.566689930554;-25420.14045434028
59;-20630.709230381945;-28417.645841145833
60;-31812.473841927083;-34859.66915112847
61;-36422.84904114583;-35804.6979625
62;-28074.999254340277;-30523.821163975696
63;-19127.12324357639;-26147.155731163195
64;-11428.644665407985;-21579.512642100693
65;-11057.263884114584;-21837.664349392362
66;-10223.90767628129;-19128.3385332498
67;-899.9742626937709;-13389.381199130277
68;4919.8796977956135;-8712.477573328993
69;12317.066647894966;-5734.605336935764
70;13193.391712065972;-3874.115481510417
71;8983.756280555555;-4281.0849602973085
72;7640.890052213542;-2913.9419409505213
73;3491.8233308213976;-431.94224589650037
74;11661.159226378039;8531.261349217393
75;16713.814844487846;11757.050266840279
76;13383.291292881944;8508.489031901041
77;11146.23373264215;6175.782127148122
78;13177.504461282764;7631.281278400413
79;13431.651867100694;4925.607980989583
80;15385.595568315972;5335.0740864800355
81;15521.745882161458;6055.134337217883
82;22184.61111922743;9657.145155121527
83;25199.78882300347;14640.682109114583
84;15974.323007899306;6692.737772482638
85;13532.15843268229;5254.1813180121535
86;11186.058414583333;4621.039428689236
87;17595.314968402778;5939.452060438368
88;21098.974803863395;9532.740480659733
89;21129.25340504239;6412.37385468033
90;24837.15280711806;8386.227246028646
91;23374.841798090278;10062.480498394098
92;18474.21613203125;6957.318223697916
93;16271.682675737848;6268.913955794271
94;10716.236151041667;6112.781862196181
95;2535.593988324653;2409.4560425347227
