;Residual_Actual;Residual_Optimized
0;1681.685317527093;1690.411290145111
1;3633.097806144752;2842.8410203737612
2;6952.444582530382;5030.195876085069
3;9279.62863029514;6329.816286328124
4;8867.73436236979;5423.698983355035
5;8377.190432942709;4763.771969878472
6;9658.848011631944;5781.237454709201
7;10451.011576345487;5815.481058789062
8;10190.292716449652;4666.331635286459
9;9716.908783333332;4227.020218598091
10;10475.69389045139;5376.164512630208
11;10952.8680724501;5688.30665181095
12;10200.624445216008;5317.2059693325
13;10127.036777473959;5980.51261202257
14;11126.239972439236;7214.066739973959
15;11382.201751779514;7256.947768771701
16;10695.916286111113;6083.138707530382
17;10820.258605989584;5687.149185546875
18;11515.079005555555;6389.847318576389
19;11029.222390364583;6288.987366232639
20;8906.265186588542;4139.763121310763
21;7603.429391167534;2800.385264344618
22;7461.346250104925;2781.7196473733834
23;7252.50089917516;2216.4202010140507
24;4853.460261870659;98.8983400712755
25;2876.438498144531;-1118.1921683539497
26;1741.2699526909723;-1560.4233349880644
27;122.01924564234416;-2517.2074716254338
28;-2830.612058957248;-730.8867806064183
29;-1882.2426432108562;-565.3939655537923
30;-612.3724718071832;-597.2261816657173
31;-544.4732992892796;-551.1037884691026
32;-2029.7539095235188;-598.9461000372992
33;-3850.3435372220583;-453.2512788687538
34;-5011.496981188672;-610.9872593681148
35;-6974.2443697699655;-617.0428900356716
36;-9583.585855360243;-461.83333240220816
37;-11687.774022873264;-491.4649162306044
38;-12324.641336675346;-558.6883598036025
39;-13955.444190885417;-459.95662157660587
40;-18822.044588194443;-2143.083215910509
41;-27937.38370104167;-10282.16999924045
42;-20850.72791825087;-11868.316361197916
43;14645.962076942402;-11485.932030859374
44;6428.63099175939;-12799.986296791121
45;-25412.676619295096;-14734.280459753281
46;-2368.7157451350745;-13955.92084874132
47;12069.31148586358;-14001.133955989584
48;-1642.2308288194442;-15980.215541623264
49;-26354.48557048611;-16741.277534982637
50;-19616.993124238757;-16221.951951171875
51;16441.492725420423;-16620.650653559027
52;2323.7163395399307;-18084.023729427085
53;-23109.479996267364;-18610.569415625
54;-23886.102729427083;-17408.593647916667
55;-21024.42135401764;-16508.028802230983
56;-20192.81195816798;-17591.26752274055
57;-19450.973424479165;-18621.922291145835
58;-16454.744378862848;-16903.424400694446
59;-14227.33243875868;-15597.211613151041
60;-13499.719995833333;-15664.252998697917
61;-12169.75387829861;-15178.074638671875
62;-9032.77713250868;-12968.068688151041
63;-5736.484300173611;-10940.331408854167
64;-4045.8822021050346;-9885.74238294271
65;-2956.855189322917;-8644.40914891493
66;-543.1948626409529;-5770.654852960554
67;394.5628821014334;-3422.1463251601554
68;474.2347359188504;-2701.6010438368057
69;369.3414397142198;-1535.9119680338542
70;320.4283428283692;-37.02517692481147
71;231.20515096808538;226.34752403666178
72;218.387856668769;218.17901403147377
73;156.7624357844035;156.9114789381239
74;584.8895561996459;167.14192520718046
75;1256.7429943901911;97.08195509279038
76;504.3218777431912;59.846281915622285
77;32.253793891181566;26.868927750892002
78;9.570155313128007;9.403816614780565
79;1502.1199092249283;-0.42244763876158853
80;8840.856622287327;-2.5875700860447353
81;9129.619218793403;-3.1233873875194123
82;9903.48395750868;-3.191968276119232
83;10659.784974175349;-3.2513186055501304
84;10254.988488324652;-3.2200763117578295
85;9538.749665407986;-3.2351390053537155
86;10128.346593446182;-3.2161486715952554
87;10806.529695355903;-3.251931272983551
88;10058.554541705771;-3.232424973273236
89;9803.286055580096;-3.2526415241851128
90;10516.399785373265;-3.4201748380449084
91;10139.314399956596;234.8640706829601
92;8884.030961328124;4997.992338368055
93;7277.09846015625;5348.7961252170135
94;5517.99550358073;4626.385707486979
95;2934.1586701822916;3242.9226817274307
