;Feed_in_Price_EUR_kWh;Electricity_Price_EUR_kWh;PV_Power_W;Irradiance;Time_unix
0;0.0816;0.271988;-0.001127697;8.94E-06;1609459200
1;0.0816;0.271988;0.006180189;8.43E-05;1609460100
2;0.0816;0.271988;0.004136188;0.000344172;1609461000
3;0.0816;0.271988;0.001532824;0.00070871;1609461900
4;0.0816;0.267317;0.023625736;0.001394603;1609462800
5;0.0816;0.267317;0.031242331;0.002151591;1609463700
6;0.0816;0.267317;0.040602077;0.003392592;1609464600
7;0.0816;0.267317;0.057676367;0.004645301;1609465500
8;0.0816;0.264428;0.078595101;0.006570496;1609466400
9;0.0816;0.264428;0.097981805;0.008422196;1609467300
10;0.0816;0.264428;0.127070112;0.011160674;1609468200
11;0.0816;0.264428;0.143639398;0.013714635;1609469100
12;0.0816;0.263938;0.186605488;0.017395483;1609470000
13;0.0816;0.263938;0.349514843;0.020754975;1609470900
14;0.0816;0.263938;1.885060029;0.039205911;1609471800
15;0.0816;0.263938;10.59183134;0.204813626;1609472700
16;0.0816;0.268388;25.44966179;1.165104377;1609473600
17;0.0816;0.268388;58.04126337;2.792911378;1609474500
18;0.0816;0.268388;105.8053269;6.425764639;1609475400
19;0.0816;0.268388;170.3741752;11.75331712;1609476300
20;0.0816;0.283721;242.5065685;19.12583306;1609477200
21;0.0816;0.283721;358.6055672;27.20650674;1609478100
22;0.0816;0.283721;460.9370006;40.39644001;1609479000
23;0.0816;0.283721;592.8957455;51.40385414;1609479900
24;0.0816;0.301757;751.9486073;66.24999442;1609480800
25;0.0816;0.301757;956.3998692;83.14315638;1609481700
26;0.0816;0.301757;1126.180364;105.7582659;1609482600
27;0.0816;0.301757;1342.747897;123.0791476;1609483500
28;0.0816;0.315399;1560.55126;146.0578387;1609484400
29;0.0816;0.315399;1796.619091;168.3165906;1609485300
30;0.0816;0.315399;2004.637427;193.3318113;1609486200
31;0.0816;0.315399;2233.262879;213.8523592;1609487100
32;0.0816;0.312738;2401.966582;238.2146119;1609488000
33;0.0816;0.312738;2638.492456;254.6255708;1609488900
34;0.0816;0.312738;2874.873719;279.3972603;1609489800
35;0.0816;0.312738;3029.301007;302.6118721;1609490700
36;0.0816;0.30519;3214.02316;317.9589041;1609491600
37;0.0816;0.30519;3401.864036;336.2359209;1609492500
38;0.0816;0.30519;3569.780523;355.4611872;1609493400
39;0.0816;0.30519;3767.156529;372.0091324;1609494300
40;0.0816;0.298575;3868.229085;391.913242;1609495200
41;0.0816;0.298575;3976.864914;400.2207002;1609496100
42;0.0816;0.298575;4017.042317;410.8234399;1609497000
43;0.0816;0.298575;4071.109567;415.0273973;1609497900
44;0.0816;0.293453;4122.058914;420.3266653;1609498800
45;0.0816;0.293453;4081.291542;424.5972702;1609499700
46;0.0816;0.293453;4131.728688;419.4844644;1609500600
47;0.0816;0.293453;4047.843038;425.6920154;1609501500
48;0.0816;0.286188;3996.728416;415.8599696;1609502400
49;0.0816;0.286188;3934.827251;411.2572298;1609503300
50;0.0816;0.286188;3831.966414;404.5707763;1609504200
51;0.0816;0.286188;3791.305035;394.0502283;1609505100
52;0.0816;0.281761;3620.055357;390.1171994;1609506000
53;0.0816;0.281761;3423.451994;371.5540335;1609506900
54;0.0816;0.281761;3249.2798;350.8310502;1609507800
55;0.0816;0.281761;3103.025773;334.4383562;1609508700
56;0.0816;0.28496;2943.654057;319.869102;1609509600
57;0.0816;0.28496;2712.445883;303.7899543;1609510500
58;0.0816;0.28496;2489.372823;279.891933;1609511400
59;0.0816;0.28496;2211.351267;256.5616438;1609512300
60;0.0816;0.292588;2028.041567;228.2146119;1609513200
61;0.0816;0.292588;1803.632415;210.4855403;1609514100
62;0.0816;0.292588;1602.975348;185.9695586;1609515000
63;0.0816;0.292588;1357.230336;166.6849315;1609515900
64;0.0816;0.307325;1196.906089;140.890411;1609516800
65;0.0816;0.307325;1019.57018;125.5722983;1609517700
66;0.0816;0.307325;855.0479523;106.1993912;1609518600
67;0.0816;0.307325;658.9055732;89.73972603;1609519500
68;0.0816;0.32569;519.1100885;68.70015221;1609520400
69;0.0816;0.32569;389.8380817;54.26788432;1609521300
70;0.0816;0.32569;299.9851754;40.65905632;1609522200
71;0.0816;0.32569;210.6966519;31.40487062;1609523100
72;0.0816;0.33296;146.0145401;21.84322679;1609524000
73;0.0816;0.33296;76.90718681;15.41400304;1609524900
74;0.0816;0.33296;39.61529939;7.911719939;1609525800
75;0.0816;0.33296;15.75609595;4.127853881;1609526700
76;0.0816;0.323859;5.180842992;1.608828006;1609527600
77;0.0816;0.323859;0.832790009;0.531202435;1609528500
78;0.0816;0.323859;0.17249489;0.080669711;1609529400
79;0.0816;0.323859;0.000361798;0.01978691;1609530300
80;0.0816;0.308704;0.000689012;0;1609531200
81;0.0816;0.308704;0.001739116;0;1609532100
82;0.0816;0.308704;-0.005043897;0;1609533000
83;0.0816;0.308704;-0.006395779;0;1609533900
84;0.0816;0.29697;-0.004189455;0;1609534800
85;0.0816;0.29697;-0.00549927;0;1609535700
86;0.0816;0.29697;-0.016550342;0;1609536600
87;0.0816;0.29697;0.002809754;0;1609537500
88;0.0816;0.286344;-0.004456324;0;1609538400
89;0.0816;0.286344;-0.003130021;0;1609539300
90;0.0816;0.286344;0.003468726;0;1609540200
91;0.0816;0.286344;-0.010319221;0;1609541100
92;0.0816;0.2752256;0.002752936;0;1609542000
93;0.0816;0.275225;-0.000685117;0;1609542900
94;0.0816;0.275225;-0.006806132;0;1609543800
95;0.0816;0.275225;-0.009279779;0;1609544700
