;Load_0;Load_1;Load_2;Load_3;Load_4;Load_5;Load_6;Load_7;Load_8;Load_9;Load_10;Load_11;Load_12
0;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767;1681.606830315767
1;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493;3633.208271603493
2;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285;6958.541556011285
3;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566;9287.73060249566
4;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507;8866.58100733507
5;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986;8378.705734157986
6;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763;9669.340977560763
7;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694;10456.286320225694
8;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694;10189.840095225694
9;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612;9716.225728298612
